mc12_8TeV.176333.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.0193351
mc12_8TeV.176334.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.4251750
mc12_8TeV.176335.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.3038390
mc12_8TeV.176336.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.2220660
mc12_8TeV.176337.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.1671270
mc12_8TeV.176338.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.1276190
mc12_8TeV.176339.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.0996356
mc12_8TeV.176340.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.0783272
mc12_8TeV.176341.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.0620642
mc12_8TeV.176342.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.0505188
mc12_8TeV.176343.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.0408056
mc12_8TeV.176344.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.0333769
mc12_8TeV.176345.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.0271035
mc12_8TeV.176346.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.0229265
mc12_8TeV.176347.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.0193351
mc12_8TeV.176348.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.0163196
mc12_8TeV.176349.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.3043330
mc12_8TeV.176350.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.2226890
mc12_8TeV.176351.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.1671270
mc12_8TeV.176352.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.1273110
mc12_8TeV.176353.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.0985363
mc12_8TeV.176354.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.0778172
mc12_8TeV.176355.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.0620642
mc12_8TeV.176356.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.0502456
mc12_8TeV.176357.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.0404484
mc12_8TeV.176358.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.0336928
mc12_8TeV.176359.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.0275940
mc12_8TeV.176360.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.0229894
mc12_8TeV.176361.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.0193351
mc12_8TeV.176362.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.0163090
mc12_8TeV.176363.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.2226890
mc12_8TeV.176364.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.1671270
mc12_8TeV.176365.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.1273010
mc12_8TeV.176366.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.0993563
mc12_8TeV.176367.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.0778419
mc12_8TeV.176368.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.0617598
mc12_8TeV.176369.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.0502456
